Gene	numberofposfactors	txids	interpolyAdist
FBgn0011818	3	FBtr0077779_FBtr0077778_FBtr0077777,FBtr0077780	NA
FBgn0031432	2	FBtr0335166_FBtr0335167	402
FBgn0031436	2	FBtr0077745,FBtr0335174_FBtr0273393	56
FBgn0031437	2	FBtr0077694_FBtr0335170	285
FBgn0026479	2	FBtr0077744_FBtr0335173	157
FBgn0031443	2	FBtr0077699_FBtr0332513	890
FBgn0031453	3	FBtr0077713,FBtr0077714_FBtr0335125_FBtr0307080	NA
FBgn0031456	2	FBtr0077715_FBtr0335126	279
FBgn0031457	2	FBtr0077736_FBtr0335129	662
FBgn0031458	2	FBtr0077716_FBtr0335127	127
FBgn0031459	2	FBtr0077719,FBtr0335128_FBtr0077718	96
FBgn0004242	3	FBtr0077726,FBtr0077727,FBtr0332219,FBtr0332220,FBtr0343993_FBtr0332218,FBtr0077728_FBtr0345331	NA
FBgn0031461	2	FBtr0077720,FBtr0077721_FBtr0335151	231
FBgn0031473	2	FBtr0077687,FBtr0335132_FBtr0077686	243
FBgn0015521	2	FBtr0077621,FBtr0077622,FBtr0273293_FBtr0077623,FBtr0335131	324
FBgn0041111	3	FBtr0077632,FBtr0290038,FBtr0290040_FBtr0077634,FBtr0290039,FBtr0290041,FBtr0332458_FBtr0077633	NA
FBgn0010263	2	FBtr0077637,FBtr0077638,FBtr0077639,FBtr0077640,FBtr0290237,FBtr0290238,FBtr0330213,FBtr0343782_FBtr0100468	3583
FBgn0031484	2	FBtr0343781_FBtr0077642	102
FBgn0250786	2	FBtr0305980,FBtr0077674_FBtr0331654	137
FBgn0031489	2	FBtr0331629,FBtr0077672_FBtr0077671,FBtr0300815	244
FBgn0031493	2	FBtr0077669_FBtr0335484	281
FBgn0031500	2	FBtr0077654,FBtr0077655_FBtr0335479	264
FBgn0042627	2	FBtr0077657_FBtr0335386	542
FBgn0015600	3	FBtr0077664,FBtr0077663,FBtr0335388_FBtr0112883_FBtr0329906,FBtr0077665,FBtr0110903,FBtr0329907,FBtr0335389,FBtr0077662	NA
FBgn0031505	2	FBtr0077617_FBtr0329905	177
FBgn0011648	2	FBtr0077616_FBtr0332372	396
FBgn0014906	2	FBtr0077576,FBtr0332371_FBtr0308315	474
FBgn0051698	2	FBtr0077612_FBtr0344143	78
FBgn0031512	2	FBtr0077578_FBtr0344142	62
FBgn0085422	2	FBtr0340590_FBtr0112637	78
FBgn0031519	2	FBtr0077603_FBtr0331372	682
FBgn0031522	2	FBtr0339547_FBtr0077586	36
FBgn0031529	2	FBtr0077594_FBtr0332407	51
FBgn0259950	2	FBtr0300294_FBtr0343241	142
FBgn0031540	2	FBtr0077569_FBtr0343239	82
FBgn0014396	2	FBtr0333254,FBtr0333255_FBtr0077567,FBtr0333252,FBtr0333259,FBtr0333253,FBtr0333256,FBtr0333258	7062
FBgn0053123	2	FBtr0077562_FBtr0345640	150
FBgn0031544	2	FBtr0077525_FBtr0333250	158
FBgn0024244	2	FBtr0077531,FBtr0344768_FBtr0077530	342
FBgn0015663	2	FBtr0077532_FBtr0339571	402
FBgn0000721	2	FBtr0301399_FBtr0089306,FBtr0089307,FBtr0089308,FBtr0089309,FBtr0100363,FBtr0089310,FBtr0089304,FBtr0089312	543
FBgn0085369	2	FBtr0302391_FBtr0339572	377
FBgn0051779	2	FBtr0110767_FBtr0305673	295
FBgn0051778	2	FBtr0339574_FBtr0077543	219
FBgn0051955	2	FBtr0077540,FBtr0303782,FBtr0345639_FBtr0345543	273
FBgn0003386	2	FBtr0089274,FBtr0089275,FBtr0289989_FBtr0332184,FBtr0332185	1558
FBgn0031568	2	FBtr0321291_FBtr0273188	1210
FBgn0263846	2	FBtr0321304,FBtr0321305,FBtr0321306,FBtr0321308,FBtr0321309,FBtr0330223_FBtr0321307	290
FBgn0021800	2	FBtr0077498_FBtr0077497	1776
FBgn0051957	2	FBtr0077514_FBtr0334833	209
FBgn0051774	2	FBtr0308126,FBtr0308127_FBtr0308125	2596
FBgn0000547	2	FBtr0077465,FBtr0334266_FBtr0334265	1313
FBgn0014033	2	FBtr0077467_FBtr0346582	147
FBgn0031589	2	FBtr0077481,FBtr0077482,FBtr0113020,FBtr0077479,FBtr0077480,FBtr0334792_FBtr0077483,FBtr0334791	186
FBgn0010473	6	FBtr0089268_FBtr0089269_FBtr0089271_FBtr0089270,FBtr0301863,FBtr0301864,FBtr0347158,FBtr0347159_FBtr0333484_FBtr0333485	NA
FBgn0020762	2	FBtr0077426,FBtr0077427_FBtr0112898,FBtr0112899	365
FBgn0022153	2	FBtr0077432,FBtr0305968_FBtr0331447	382
FBgn0019982	2	FBtr0077453_FBtr0110812	56
FBgn0053002	2	FBtr0077451,FBtr0345633_FBtr0335135	385
FBgn0011603	2	FBtr0301407,FBtr0301408_FBtr0077447,FBtr0077446,FBtr0077448	30
FBgn0053196	2	FBtr0305141,FBtr0305145,FBtr0332344,FBtr0332346,FBtr0332347,FBtr0332355,FBtr0332343,FBtr0332353_FBtr0332345,FBtr0332348,FBtr0332349,FBtr0332350,FBtr0332354,FBtr0332351,FBtr0332352,FBtr0305142	2009
FBgn0083938	2	FBtr0110769_FBtr0346457	125
FBgn0031632	2	FBtr0077384_FBtr0336962	388
FBgn0031633	2	FBtr0077415_FBtr0336961	167
FBgn0031637	3	FBtr0300941_FBtr0332477,FBtr0077411,FBtr0077409,FBtr0332478_FBtr0077410,FBtr0332479	NA
FBgn0051660	2	FBtr0077388,FBtr0100301,FBtr0304909,FBtr0304910_FBtr0336831	1559
FBgn0000286	2	FBtr0089647,FBtr0089648,FBtr0089649,FBtr0336835_FBtr0304887	219
FBgn0031645	2	FBtr0336832_FBtr0077391	431
FBgn0031646	2	FBtr0077401,FBtr0077403,FBtr0113021_FBtr0077402	205
FBgn0041150	2	FBtr0077397,FBtr0077395,FBtr0077398,FBtr0077399,FBtr0077400,FBtr0336833,FBtr0336834_FBtr0077396,FBtr0345631	161
FBgn0031660	2	FBtr0078996_FBtr0331227	32
FBgn0083962	2	FBtr0290010,FBtr0329976,FBtr0329977_FBtr0329974,FBtr0329975	267
FBgn0053113	4	FBtr0301538_FBtr0079041_FBtr0079043,FBtr0079042,FBtr0079040,FBtr0332413,FBtr0079039,FBtr0301539,FBtr0079038_FBtr0079044,FBtr0301540	NA
FBgn0000299	3	FBtr0079001_FBtr0079003_FBtr0079002	NA
FBgn0260470	2	FBtr0079004,FBtr0333534,FBtr0333535_FBtr0079005	196
FBgn0260451	2	FBtr0110983_FBtr0110984	196
FBgn0014857	2	FBtr0079010,FBtr0333537_FBtr0333536	154
FBgn0028572	5	FBtr0302569_FBtr0332213,FBtr0339791_FBtr0332214,FBtr0339792_FBtr0100260_FBtr0079012,FBtr0079013,FBtr0100259,FBtr0100263,FBtr0332212,FBtr0332215	NA
FBgn0261608	2	FBtr0079016,FBtr0079017_FBtr0302570	151
FBgn0031683	2	FBtr0079019_FBtr0329982,FBtr0329983	681
FBgn0031684	2	FBtr0079025,FBtr0345334_FBtr0345333	323
FBgn0261836	4	FBtr0303383,FBtr0303386_FBtr0303384_FBtr0303389,FBtr0332403,FBtr0332404,FBtr0332406_FBtr0303385,FBtr0303387,FBtr0303388,FBtr0332405	NA
FBgn0000228	2	FBtr0302567,FBtr0342939_FBtr0079085,FBtr0079084,FBtr0302568,FBtr0310624,FBtr0310625	2099
FBgn0031696	2	FBtr0079069,FBtr0346455_FBtr0342934	281
FBgn0016076	3	FBtr0300020,FBtr0079070_FBtr0079071,FBtr0342936_FBtr0346579	NA
FBgn0031697	2	FBtr0079082_FBtr0329970	818
FBgn0031698	3	FBtr0307040_FBtr0329969_FBtr0307041	NA
FBgn0015031	2	FBtr0079072,FBtr0307034_FBtr0307035	64
FBgn0031701	2	FBtr0307036_FBtr0079073	41
FBgn0016920	3	FBtr0079074_FBtr0304843_FBtr0300012,FBtr0343224	NA
FBgn0016660	2	FBtr0079076_FBtr0343225	665
FBgn0261963	2	FBtr0310358_FBtr0079093	781
FBgn0051989	2	FBtr0301318_FBtr0079097	89
FBgn0014189	2	FBtr0079124,FBtr0331676_FBtr0079125,FBtr0079123	168
FBgn0031717	3	FBtr0307062_FBtr0307063_FBtr0079101,FBtr0079102,FBtr0307060,FBtr0307061,FBtr0307064,FBtr0331675	NA
FBgn0031723	2	FBtr0079117_FBtr0345749	34
FBgn0031725	2	FBtr0343246_FBtr0302933	653
FBgn0031726	2	FBtr0343244_FBtr0343243	926
FBgn0031730	2	FBtr0302950,FBtr0343388,FBtr0343389_FBtr0343387	143
FBgn0024191	2	FBtr0079134_FBtr0345545	153
FBgn0031736	2	FBtr0079135_FBtr0332554	2373
FBgn0031737	2	FBtr0079163_FBtr0079164	907
FBgn0031738	3	FBtr0301236,FBtr0301234_FBtr0332038,FBtr0332039_FBtr0301235	NA
FBgn0031741	2	FBtr0306841,FBtr0344769_FBtr0342609	136
FBgn0262814	2	FBtr0344574_FBtr0344575	34
FBgn0002856	3	FBtr0342618_FBtr0079156_FBtr0079157	NA
FBgn0031747	2	FBtr0079154_FBtr0345750	181
FBgn0015381	2	FBtr0079145_FBtr0333245	495
FBgn0261055	2	FBtr0301935_FBtr0333233	157
FBgn0001128	5	FBtr0333228_FBtr0079148_FBtr0079146_FBtr0079147,FBtr0333229_FBtr0333230	NA
FBgn0000308	5	FBtr0309212_FBtr0079233_FBtr0309213_FBtr0079235,FBtr0079234_FBtr0079236	NA
FBgn0001942	3	FBtr0079176,FBtr0079175,FBtr0079177,FBtr0079178_FBtr0331201_FBtr0307068	NA
FBgn0031759	3	FBtr0079232,FBtr0307070,FBtr0079231,FBtr0307069_FBtr0307071_FBtr0345336	NA
FBgn0031762	2	FBtr0079229_FBtr0079228,FBtr0332602	141
FBgn0031764	2	FBtr0079226_FBtr0079225	612
FBgn0025742	2	FBtr0079223_FBtr0345290	65
FBgn0051643	2	FBtr0343119_FBtr0079182	96
FBgn0031768	2	FBtr0079183,FBtr0079184_FBtr0343120	36
FBgn0031769	2	FBtr0079185,FBtr0079186,FBtr0346135_FBtr0343121	395
FBgn0031772	2	FBtr0343122_FBtr0079188	42
FBgn0266449	2	FBtr0302212_FBtr0079192,FBtr0343126	249
FBgn0266521	2	FBtr0079196,FBtr0079198,FBtr0333406_FBtr0079197,FBtr0304908	754
FBgn0051639	2	FBtr0079207_FBtr0079208	64
FBgn0085409	2	FBtr0112617_FBtr0329979,FBtr0329980	1637
FBgn0053531	3	FBtr0340169_FBtr0344771_FBtr0344770	NA
FBgn0265778	2	FBtr0079249,FBtr0300038,FBtr0300039_FBtr0333242	1039
FBgn0031800	2	FBtr0079283_FBtr0331225	118
FBgn0031811	2	FBtr0343151_FBtr0079256	917
FBgn0011722	2	FBtr0079275_FBtr0343152	89
FBgn0031813	2	FBtr0114603,FBtr0089948,FBtr0329952_FBtr0345720	18346
FBgn0031814	2	FBtr0079272,FBtr0329951_FBtr0339788	342
FBgn0031816	2	FBtr0331186_FBtr0079271	303
FBgn0031817	2	FBtr0331185_FBtr0079270	148
FBgn0259749	2	FBtr0079268_FBtr0079269,FBtr0339787	53
FBgn0031820	2	FBtr0344764_FBtr0079260	410
FBgn0031821	2	FBtr0079265_FBtr0339785	220
FBgn0051637	2	FBtr0343155_FBtr0079287	77
FBgn0031830	2	FBtr0343157_FBtr0079288	159
FBgn0031832	2	FBtr0079332,FBtr0343163_FBtr0343162	705
FBgn0031835	2	FBtr0343159_FBtr0089641,FBtr0343160	3554
FBgn0051635	3	FBtr0331189,FBtr0331190,FBtr0079326,FBtr0331188_FBtr0113410,FBtr0331192_FBtr0331187,FBtr0331191	NA
FBgn0031842	2	FBtr0303224_FBtr0079295,FBtr0343864	158
FBgn0085339	2	FBtr0112506_FBtr0333516,FBtr0346453	39
FBgn0028703	2	FBtr0333347_FBtr0273247,FBtr0273248,FBtr0273250,FBtr0333348,FBtr0300327	1486
FBgn0031850	2	FBtr0079314,FBtr0079311,FBtr0079313_FBtr0336751,FBtr0114489,FBtr0079312,FBtr0114488	2834
FBgn0025777	3	FBtr0079306,FBtr0329893,FBtr0332330_FBtr0079307,FBtr0333346_FBtr0329892	NA
FBgn0046704	3	FBtr0079300,FBtr0329943_FBtr0079301,FBtr0329942_FBtr0329941	NA
FBgn0031855	2	FBtr0079303_FBtr0339237	743
FBgn0031857	3	FBtr0301972,FBtr0331222_FBtr0290295,FBtr0331217,FBtr0331219_FBtr0331216,FBtr0331221,FBtr0331220,FBtr0331218	NA
FBgn0031858	3	FBtr0332335_FBtr0079337_FBtr0079336	NA
FBgn0015776	2	FBtr0332370_FBtr0079384	269
FBgn0031861	2	FBtr0300821,FBtr0309813_FBtr0334841	295
FBgn0011737	2	FBtr0079371_FBtr0332329	253
FBgn0028554	2	FBtr0079368_FBtr0332328	80
FBgn0004838	4	FBtr0079347,FBtr0301403,FBtr0301404_FBtr0079346,FBtr0307031_FBtr0307030_FBtr0079348,FBtr0307032	NA
FBgn0262877	2	FBtr0306284_FBtr0347283	402
FBgn0031871	2	FBtr0079366_FBtr0332325	562
FBgn0031874	2	FBtr0343776,FBtr0079363_FBtr0343775	197
FBgn0031877	2	FBtr0079351_FBtr0343774	98
FBgn0016978	2	FBtr0079355_FBtr0331375	1114
FBgn0000053	3	FBtr0100353_FBtr0079431_FBtr0339663	NA
FBgn0031882	2	FBtr0309323_FBtr0079426,FBtr0079427,FBtr0079428	742
FBgn0031883	2	FBtr0089640,FBtr0344708,FBtr0344709,FBtr0344710,FBtr0344712_FBtr0089636,FBtr0344711	265
FBgn0262872	2	FBtr0306228,FBtr0306230,FBtr0306232_FBtr0306229,FBtr0306231,FBtr0306233	1163
FBgn0031885	3	FBtr0079402_FBtr0079401_FBtr0110978	NA
FBgn0051907	2	FBtr0079425_FBtr0344736	104
FBgn0085407	2	FBtr0301525,FBtr0112611_FBtr0112612,FBtr0342658	1504
FBgn0031897	3	FBtr0079414_FBtr0110799,FBtr0330198,FBtr0330199_FBtr0330197	NA
FBgn0259111	4	FBtr0299537,FBtr0299538,FBtr0331661,FBtr0331663,FBtr0331660_FBtr0331662,FBtr0331659_FBtr0299539_FBtr0331664,FBtr0331658	NA
FBgn0264344	2	FBtr0332005_FBtr0332004	29
FBgn0010453	2	FBtr0334799_FBtr0089291	429
FBgn0002938	3	FBtr0334836_FBtr0079437_FBtr0079436,FBtr0334835	NA
FBgn0031908	2	FBtr0079441_FBtr0332522	125
FBgn0028387	3	FBtr0308610_FBtr0079443_FBtr0332523	NA
FBgn0031914	2	FBtr0079446,FBtr0079447,FBtr0079448,FBtr0332531,FBtr0344858_FBtr0301152,FBtr0332530	613
FBgn0031920	2	FBtr0301125_FBtr0079451	459
FBgn0083141	2	FBtr0335485_FBtr0079470	62
FBgn0264087	3	FBtr0330697,FBtr0330699,FBtr0330700,FBtr0330701,FBtr0330703,FBtr0330698,FBtr0330702_FBtr0330704,FBtr0330705_FBtr0330706,FBtr0335491	NA
FBgn0040299	2	FBtr0079474,FBtr0079476_FBtr0079473,FBtr0079475	4922
FBgn0031929	2	FBtr0079516_FBtr0335489	65
FBgn0041182	2	FBtr0079510,FBtr0079511,FBtr0079513_FBtr0335487,FBtr0335488	85
FBgn0053296	2	FBtr0302519_FBtr0343408	71
FBgn0031937	2	FBtr0300709_FBtr0343407	265
FBgn0267689	2	FBtr0347188,FBtr0347189_FBtr0347187,FBtr0347190	199
FBgn0031946	2	FBtr0079487_FBtr0343401	210
FBgn0025687	2	FBtr0079495_FBtr0343404	231
FBgn0031950	2	FBtr0079493_FBtr0343403	232
FBgn0031951	2	FBtr0301329,FBtr0343415_FBtr0079489	523
FBgn0031952	3	FBtr0343424_FBtr0079492,FBtr0301330,FBtr0301331_FBtr0343423	NA
FBgn0020618	2	FBtr0079565,FBtr0331237,FBtr0345448_FBtr0331238	282
FBgn0004177	3	FBtr0343417_FBtr0079525_FBtr0343416	NA
FBgn0031961	2	FBtr0079559_FBtr0343419	189
FBgn0085450	3	FBtr0112717_FBtr0343409,FBtr0112719_FBtr0112718	NA
FBgn0031969	3	FBtr0331673_FBtr0331674,FBtr0344861,FBtr0344860,FBtr0114550_FBtr0300183	NA
FBgn0031970	2	FBtr0305574,FBtr0079551_FBtr0344063	450
FBgn0031975	2	FBtr0079534_FBtr0079533	49
FBgn0031977	2	FBtr0079535_FBtr0333095	415
FBgn0044323	3	FBtr0306000,FBtr0333096_FBtr0079536,FBtr0079538,FBtr0079539_FBtr0079537,FBtr0306001	NA
FBgn0011230	2	FBtr0333088_FBtr0079545	58
FBgn0261822	2	FBtr0079566,FBtr0079567,FBtr0079569,FBtr0079570,FBtr0079572,FBtr0079573_FBtr0079568,FBtr0079571,FBtr0079574,FBtr0332498	7073
FBgn0031985	2	FBtr0339674_FBtr0301229	327
FBgn0263256	3	FBtr0344862_FBtr0308298,FBtr0339672_FBtr0308299,FBtr0330321	NA
FBgn0264953	2	FBtr0335184_FBtr0335175,FBtr0335176,FBtr0335177,FBtr0335178,FBtr0335179,FBtr0335180,FBtr0335181,FBtr0335182,FBtr0335183	8635
FBgn0031995	2	FBtr0079638,FBtr0079639_FBtr0335186	146
FBgn0032006	2	FBtr0303109,FBtr0079629,FBtr0079625,FBtr0079626,FBtr0079628,FBtr0301338,FBtr0301339,FBtr0303108,FBtr0332416,FBtr0332417,FBtr0332418_FBtr0302147,FBtr0302148	147
FBgn0262359	2	FBtr0304640_FBtr0332368	109
FBgn0032010	2	FBtr0079621,FBtr0079620_FBtr0306391,FBtr0306392,FBtr0332360,FBtr0332363,FBtr0332364,FBtr0332365,FBtr0332366,FBtr0332367,FBtr0332361,FBtr0332362	385
FBgn0003502	4	FBtr0079616_FBtr0330692,FBtr0112835,FBtr0079615,FBtr0330693,FBtr0079617_FBtr0079618_FBtr0112836	NA
FBgn0032025	2	FBtr0079606_FBtr0345779	915
FBgn0010265	2	FBtr0100541,FBtr0079724_FBtr0346454	213
FBgn0032033	2	FBtr0079720_FBtr0331995	84
FBgn0040958	2	FBtr0079714,FBtr0331993_FBtr0331994	64
FBgn0020497	2	FBtr0346708_FBtr0079663	573
FBgn0014417	2	FBtr0079711_FBtr0331991	161
FBgn0032042	2	FBtr0079710_FBtr0331990	267
FBgn0027932	3	FBtr0079664_FBtr0079665,FBtr0079666,FBtr0079667,FBtr0340239,FBtr0340241_FBtr0340240	NA
FBgn0027780	2	FBtr0340243_FBtr0089673,FBtr0340244	69
FBgn0029173	2	FBtr0079674_FBtr0332008	165
FBgn0032050	2	FBtr0079698_FBtr0343426	182
FBgn0032055	2	FBtr0079684_FBtr0333415	78
FBgn0016122	2	FBtr0079685_FBtr0333416	856
FBgn0028394	2	FBtr0079688,FBtr0079689,FBtr0333418_FBtr0079686,FBtr0079687,FBtr0333417	3507
FBgn0011259	4	FBtr0079691,FBtr0329930_FBtr0303879,FBtr0329932_FBtr0303877,FBtr0329931_FBtr0303878	NA
FBgn0004914	2	FBtr0079748,FBtr0344784,FBtr0112846_FBtr0079747,FBtr0336633	27
FBgn0032061	2	FBtr0079731_FBtr0339543	87
FBgn0032066	2	FBtr0079744_FBtr0340230	88
FBgn0261630	2	FBtr0340258_FBtr0302995	250
FBgn0085427	4	FBtr0112648,FBtr0303892,FBtr0303893_FBtr0303890,FBtr0303891,FBtr0303894,FBtr0340259,FBtr0340260_FBtr0112649_FBtr0303889	NA
FBgn0032076	2	FBtr0100481,FBtr0299780_FBtr0340263	60
FBgn0032077	2	FBtr0079791_FBtr0340262	165
FBgn0032082	3	FBtr0332186_FBtr0079759_FBtr0332187	NA
FBgn0032084	2	FBtr0079783_FBtr0079784	128
FBgn0013746	4	FBtr0079780_FBtr0343095_FBtr0079781_FBtr0339550	NA
FBgn0032088	2	FBtr0079766_FBtr0309842	1259
FBgn0041092	2	FBtr0303870,FBtr0303871,FBtr0303872,FBtr0333405_FBtr0303873,FBtr0304974	3025
FBgn0032104	2	FBtr0079819_FBtr0343928	40
FBgn0267252	4	FBtr0079796,FBtr0303895,FBtr0309247,FBtr0336620_FBtr0079795,FBtr0346282_FBtr0330019_FBtr0079797	NA
FBgn0032109	2	FBtr0273186,FBtr0336622,FBtr0336623_FBtr0336624	265
FBgn0263082	2	FBtr0307098_FBtr0336626	42
FBgn0085395	2	FBtr0308029_FBtr0332598	2671
FBgn0032115	2	FBtr0079813_FBtr0303900	111
FBgn0000640	3	FBtr0343429_FBtr0079808_FBtr0343428	NA
FBgn0032117	2	FBtr0343431,FBtr0079811_FBtr0346623	102
FBgn0002973	2	FBtr0079821,FBtr0079822_FBtr0339526	1061
FBgn0004868	2	FBtr0079862_FBtr0306169,FBtr0345433	760
FBgn0032129	3	FBtr0304056_FBtr0113030,FBtr0304057,FBtr0079861_FBtr0079860	NA
FBgn0051709	2	FBtr0079856_FBtr0346456	435
FBgn0014179	2	FBtr0079855_FBtr0335492	262
FBgn0040070	2	FBtr0079840_FBtr0079839	357
FBgn0032135	2	FBtr0302199_FBtr0079841,FBtr0079842	521
FBgn0000273	2	FBtr0335495_FBtr0079851,FBtr0079852	1047
FBgn0051710	2	FBtr0335508,FBtr0079849_FBtr0339523	522
FBgn0028704	3	FBtr0079926,FBtr0079928,FBtr0303909_FBtr0303908_FBtr0335506	NA
FBgn0032151	3	FBtr0079915,FBtr0079916,FBtr0331284_FBtr0079912,FBtr0079913,FBtr0303898_FBtr0079914	NA
FBgn0032156	2	FBtr0079902,FBtr0079903,FBtr0290197,FBtr0300866,FBtr0300867,FBtr0300868,FBtr0300869,FBtr0300870_FBtr0300871	100
FBgn0032160	2	FBtr0079877_FBtr0332505	219
FBgn0032162	2	FBtr0079879_FBtr0331632	94
FBgn0032166	2	FBtr0300550_FBtr0079883	2213
FBgn0032168	2	FBtr0079892_FBtr0343747	356
FBgn0032170	2	FBtr0343739_FBtr0079885,FBtr0079886,FBtr0079887,FBtr0343738	808
